Player,Frame,Shot,CumulativeScore,Total
V,1,31,0,170
V,2,21,21,170
V,3,71,170,170
V,4,01,,170
V,5,00,,170
V,6,00,,170
V,7,00,,170
V,8,00,,170
V,9,00,,170
V,10,000,,170
V,1,01,80,281
V,2,21,110,281
V,3,07,190,281
V,4,01,281,281
V,5,00,,281
V,6,00,,281
V,7,00,,281
V,8,00,,281
V,9,00,,281
V,10,000,,281
P,1,01,5,154
P,2,5/,5,154
P,3,X,8,154
P,4,21,41,154
P,5,00,41,154
P,6,00,66,154
P,7,00,,154
P,8,50,,154
P,9,00,76,154
P,10,000,,154
T,1,00,70,267
T,2,07,250,267
T,3,01,,267
T,4,21,,267
T,5,01,,267
T,6,01,,267
T,7,00,,267
T,8,00,,267
T,9,01,,267
T,10,101,,267
